jahr;straftat_bezeichnung;nationalitaet;verurteilte
1984;Andere Straftaten gegen die Person (ohne Verkehr);Nichtdeutsch;23076
1984;Andere Straftaten gegen die Person (ohne Verkehr);Deutsch;209524
1984;Andere Straftaten gegen die Person (ohne Verkehr);Gesamt;232600
1984;Andere Vermögensdelikte;Nichtdeutsch;44548
1984;Andere Vermögensdelikte;Deutsch;350540
1984;Andere Vermögensdelikte;Gesamt;395088
1984;Betrug;Nichtdeutsch;11936
1984;Betrug;Deutsch;156956
1984;Betrug;Gesamt;168892
1984;Diebstahl;Nichtdeutsch;67148
1984;Diebstahl;Deutsch;480784
1984;Diebstahl;Gesamt;547932
1984;Diebstahl und Unterschlagung;Nichtdeutsch;85968
1984;Diebstahl und Unterschlagung;Deutsch;667728
1984;Diebstahl und Unterschlagung;Gesamt;753696
1984;Gefährliche und schwere Körperverletzung;Nichtdeutsch;7484
1984;Gefährliche und schwere Körperverletzung;Deutsch;52304
1984;Gefährliche und schwere Körperverletzung;Gesamt;59788
1984;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Nichtdeutsch;2508
1984;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Deutsch;34292
1984;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Gesamt;36800
1984;Körperverletzung;Nichtdeutsch;6528
1984;Körperverletzung;Deutsch;58776
1984;Körperverletzung;Gesamt;65304
1984;Mord und Totschlag;Nichtdeutsch;828
1984;Mord und Totschlag;Deutsch;2532
1984;Mord und Totschlag;Gesamt;3360
1984;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Nichtdeutsch;3884
1984;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Deutsch;24776
1984;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Gesamt;28660
1984;Schwerer Diebstahl;Nichtdeutsch;16256
1984;Schwerer Diebstahl;Deutsch;152008
1984;Schwerer Diebstahl;Gesamt;168264
1984;Sexueller Missbrauch von Kindern;Nichtdeutsch;656
1984;Sexueller Missbrauch von Kindern;Deutsch;5484
1984;Sexueller Missbrauch von Kindern;Gesamt;6140
1984;Straftaten gegen den Staat,die öffentliche Ordnung;Nichtdeutsch;6592
1984;Straftaten gegen den Staat,die öffentliche Ordnung;Deutsch;70364
1984;Straftaten gegen den Staat,die öffentliche Ordnung;Gesamt;76956
1984;Straftaten gegen die sexuelle Selbstbestimmung;Nichtdeutsch;3168
1984;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;20008
1984;Straftaten gegen die sexuelle Selbstbestimmung;Gesamt;23176
1984;Straftaten im Straßenverkehr;Nichtdeutsch;95336
1984;Straftaten im Straßenverkehr;Deutsch;1055096
1984;Straftaten im Straßenverkehr;Gesamt;1150432
1984;Straftaten im Straßenverkehr nach dem StGB;Nichtdeutsch;71172
1984;Straftaten im Straßenverkehr nach dem StGB;Deutsch;883160
1984;Straftaten im Straßenverkehr nach dem StGB;Gesamt;954332
1984;Straftaten insgesamt;Nichtdeutsch;335596
1984;Straftaten insgesamt;Deutsch;2677992
1984;Straftaten insgesamt;Gesamt;3013588
1984;Straftaten nach anderen Bundes- u. Landesgesetzen;Nichtdeutsch;70516
1984;Straftaten nach anderen Bundes- u. Landesgesetzen;Deutsch;245664
1984;Straftaten nach anderen Bundes- u. Landesgesetzen;Gesamt;316180
1984;Straftaten nach dem Aufenthaltsgesetz;Nichtdeutsch;27316
1984;Straftaten nach dem Aufenthaltsgesetz;Deutsch;1404
1984;Straftaten nach dem Aufenthaltsgesetz;Gesamt;28720
1984;Straftaten nach dem Betäubungsmittelgesetz;Nichtdeutsch;12504
1984;Straftaten nach dem Betäubungsmittelgesetz;Deutsch;60592
1984;Straftaten nach dem Betäubungsmittelgesetz;Gesamt;73096
1984;Straftaten nach dem StGB (ohne Verkehr);Nichtdeutsch;169744
1984;Straftaten nach dem StGB (ohne Verkehr);Deutsch;1377232
1984;Straftaten nach dem StGB (ohne Verkehr);Gesamt;1546976
1984;Straftaten nach dem Straßenverkehrsgesetz;Nichtdeutsch;24164
1984;Straftaten nach dem Straßenverkehrsgesetz;Deutsch;171936
1984;Straftaten nach dem Straßenverkehrsgesetz;Gesamt;196100
1984;Straftaten ohne Straftaten im Straßenverkehr;Nichtdeutsch;240260
1984;Straftaten ohne Straftaten im Straßenverkehr;Deutsch;1622896
1984;Straftaten ohne Straftaten im Straßenverkehr;Gesamt;1863156
1984;Urkundenfälschung;Nichtdeutsch;10644
1984;Urkundenfälschung;Deutsch;53400
1984;Urkundenfälschung;Gesamt;64044
1984;Vergewaltigung;Nichtdeutsch;1068
1984;Vergewaltigung;Deutsch;4196
1984;Vergewaltigung;Gesamt;5264
1984;Verletzung der Unterhaltspflicht;Nichtdeutsch;1228
1984;Verletzung der Unterhaltspflicht;Deutsch;23304
1984;Verletzung der Unterhaltspflicht;Gesamt;24532
1985;Andere Straftaten gegen die Person (ohne Verkehr);Nichtdeutsch;22964
1985;Andere Straftaten gegen die Person (ohne Verkehr);Deutsch;197888
1985;Andere Straftaten gegen die Person (ohne Verkehr);Gesamt;220852
1985;Andere Vermögensdelikte;Nichtdeutsch;46892
1985;Andere Vermögensdelikte;Deutsch;353084
1985;Andere Vermögensdelikte;Gesamt;399976
1985;Betrug;Nichtdeutsch;13044
1985;Betrug;Deutsch;165024
1985;Betrug;Gesamt;178068
1985;Diebstahl;Nichtdeutsch;73704
1985;Diebstahl;Deutsch;454632
1985;Diebstahl;Gesamt;528336
1985;Diebstahl und Unterschlagung;Nichtdeutsch;92964
1985;Diebstahl und Unterschlagung;Deutsch;632100
1985;Diebstahl und Unterschlagung;Gesamt;725064
1985;Gefährliche und schwere Körperverletzung;Nichtdeutsch;7324
1985;Gefährliche und schwere Körperverletzung;Deutsch;48988
1985;Gefährliche und schwere Körperverletzung;Gesamt;56312
1985;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Nichtdeutsch;2584
