Jahr;Deliktschlüssel;Straftat;anzahl_deutsch;anzahl_nichtdeutsch;anzahl_gesamt
3;1;2;4;4;8
1987;------;Straftaten insgesamt;1032115;258326;1290441
1988;------;Straftaten insgesamt;1027336;286744;1314080
1989;------;Straftaten insgesamt;1034951;336011;1370962
1990;------;Straftaten insgesamt;1054340;383583;1437923
1991;------;Straftaten insgesamt;1061207;405545;1466752
1992;------;Straftaten insgesamt;1072429;509305;1581734
1993;------;Straftaten insgesamt;1361855;689920;2051775
1994;------;Straftaten insgesamt;1424740;612988;2037728
1995;------;Straftaten insgesamt;1514609;603496;2118105
1996;------;Straftaten insgesamt;1587708;625585;2213293
1997;------;Straftaten insgesamt;1640081;633480;2273561
1998;------;Straftaten insgesamt;1691418;628477;2319895
1999;------;Straftaten insgesamt;1661919;601221;2263140
2000;------;Straftaten insgesamt;1697263;589109;2286372
2001;------;Straftaten insgesamt;1712228;568384;2280612
2002;------;Straftaten insgesamt;1759231;566918;2326149
2003;------;Straftaten insgesamt;1801411;553750;2355161
2004;------;Straftaten insgesamt;1837283;546985;2384268
2005;------;Straftaten insgesamt;1793547;519573;2313120
2006;------;Straftaten insgesamt;1780091;503037;2283128
2007;------;Straftaten insgesamt;1804605;490278;2294883
2008;------;Straftaten insgesamt;1784627;471067;2255694
2009;------;Straftaten insgesamt;1724839;462378;2187217
2010;------;Straftaten insgesamt;1680991;471812;2152803
2011;------;Straftaten insgesamt;1628314;484529;2112843
2012;------;Straftaten insgesamt;1591733;502390;2094123
2013;------;Straftaten insgesamt;1555711;538449;2094160
2014;------;Straftaten insgesamt;1532112;617392;2149504
2015;------;Straftaten insgesamt;1457172;911864;2369036
2016;------;Straftaten insgesamt;1407062;953744;2360806
2017;------;Straftaten insgesamt;1376450;736265;2112715
2018;------;Straftaten insgesamt;1342886;708380;2051266
2019;------;Straftaten insgesamt;1319950;699261;2019211
2020;------;Straftaten insgesamt;1306418;663199;1969617
2021;------;Straftaten insgesamt;1252876;639127;1892003
2022;------;Straftaten insgesamt;1309906;783876;2093782
2023;------;Straftaten insgesamt;1323498;923269;2246767
2024;------;Straftaten insgesamt;1271638;913196;2184834
1987;000000;Straftaten gegen das Leben;2874;781;3655
1988;000000;Straftaten gegen das Leben;2772;718;3490
1989;000000;Straftaten gegen das Leben;2589;721;3310
1990;000000;Straftaten gegen das Leben;2535;756;3291
1991;000000;Straftaten gegen das Leben;2696;936;3632
1992;000000;Straftaten gegen das Leben;2716;1149;3865
1993;000000;Straftaten gegen das Leben;3905;1390;5295
1994;000000;Straftaten gegen das Leben;3809;1369;5178
1995;000000;Straftaten gegen das Leben;4039;1429;5468
1996;000000;Straftaten gegen das Leben;3708;1405;5113
1997;000000;Straftaten gegen das Leben;3624;1344;4968
1998;000000;Straftaten gegen das Leben;3221;1201;4422
1999;000000;Straftaten gegen das Leben;3234;1099;4333
2000;000000;Straftaten gegen das Leben;3271;1023;4294
2001;000000;Straftaten gegen das Leben;3106;950;4056
2002;000000;Straftaten gegen das Leben;3083;1020;4103
2003;000000;Straftaten gegen das Leben;3079;980;4059
2004;000000;Straftaten gegen das Leben;3193;936;4129
2005;000000;Straftaten gegen das Leben;3113;882;3995
2006;000000;Straftaten gegen das Leben;3104;901;4005
2007;000000;Straftaten gegen das Leben;3106;926;4032
2008;000000;Straftaten gegen das Leben;3117;848;3965
2009;000000;Straftaten gegen das Leben;3177;879;4056
2010;000000;Straftaten gegen das Leben;3067;887;3954
2011;000000;Straftaten gegen das Leben;2993;852;3845
2012;000000;Straftaten gegen das Leben;2795;813;3608
2013;000000;Straftaten gegen das Leben;2773;869;3642
2014;000000;Straftaten gegen das Leben;2737;947;3684
2015;000000;Straftaten gegen das Leben;2474;1023;3497
2016;000000;Straftaten gegen das Leben;2489;1276;3765
2017;000000;Straftaten gegen das Leben;2425;1288;3713
2018;000000;Straftaten gegen das Leben;2359;1362;3721
2019;000000;Straftaten gegen das Leben;2536;1302;3838
2020;000000;Straftaten gegen das Leben;2395;1254;3649
2021;000000;Straftaten gegen das Leben;2258;1261;3519
2022;000000;Straftaten gegen das Leben;2269;1270;3539
2023;000000;Straftaten gegen das Leben;2317;1418;3735
2024;000000;Straftaten gegen das Leben;2405;1490;3895
1987;010000;Mord § 211 StGB darunter:;724;241;965
1988;010000;Mord § 211 StGB darunter:;708;202;910
1989;010000;Mord § 211 StGB darunter:;612;223;835
1990;010000;Mord § 211 StGB darunter:;617;222;839
1991;010000;Mord § 211 StGB darunter:;662;294;956
1992;010000;Mord § 211 StGB darunter:;683;327;1010
1993;010000;Mord § 211 StGB darunter:;961;423;1384
1994;010000;Mord § 211 StGB darunter:;869;402;1271
1995;010000;Mord § 211 StGB darunter:;919;465;1384
1996;010000;Mord § 211 StGB darunter:;865;459;1324
1997;010000;Mord § 211 StGB darunter:;847;453;1300
1998;010000;Mord § 211 StGB darunter:;702;406;1108
1999;010000;Mord § 211 StGB darunter:;788;352;1140
2000;010000;Mord § 211 StGB darunter:;765;324;1089
2001;010000;Mord § 211 StGB darunter:;679;311;990
2002;010000;Mord § 211 StGB darunter:;718;314;1032
2003;010000;Mord § 211 StGB darunter:;686;307;993
2004;010000;Mord § 211 StGB darunter:;662;277;939
2005;010000;Mord § 211 StGB darunter:;695;287;982
2006;010000;Mord § 211 StGB darunter:;699;235;934
2007;010000;Mord § 211 StGB darunter:;679;268;947
2008;010000;Mord § 211 StGB darunter:;612;241;853
2009;010000;Mord § 211 StGB darunter:;656;253;909
2010;010000;Mord § 211 StGB darunter:;580;254;834
2011;010000;Mord § 211 StGB darunter:;636;258;894
2012;010000;Mord § 211 StGB darunter:;513;218;731
2013;010000;Mord § 211 StGB darunter:;543;241;784
2014;010000;Mord § 211 StGB;582;247;829
2015;010000;Mord § 211 StGB;524;207;731
2016;010000;Mord § 211 StGB;493;291;784
2017;010000;Mord § 211 StGB;516;307;823
2018;010000;Mord § 211 StGB;524;329;853
2019;010000;Mord § 211 StGB;565;319;884
2020;010000;Mord § 211 StGB;487;276;763
2021;010000;Mord § 211 StGB;443;281;724
2022;010000;Mord § 211 StGB;470;293;763
2023;010000;Mord § 211 StGB;469;355;824
2024;010000;Mord § 211 StGB;521;348;869
1987;011000;Raubmord;132;32;164
1988;011000;Raubmord;96;24;120
1989;011000;Raubmord;114;29;143
1990;011000;Raubmord;98;29;127
1991;011000;Raubmord;111;49;160
1992;011000;Raubmord;81;53;134
1993;011000;Raubmord;120;44;164
1994;011000;Raubmord;101;35;136
1995;011000;Raubmord;127;53;180
1996;011000;Raubmord;100;69;169
1997;011000;Raubmord;110;52;162
1998;011000;Raubmord;74;57;131
1999;011000;Mord im Zusammenhang mit Raubdelikten;91;47;138
2000;011000;Mord im Zusammenhang mit Raubdelikten;70;17;87
2001;011000;Mord im Zusammenhang mit Raubdelikten;83;39;122
2002;011000;Mord im Zusammenhang mit Raubdelikten;71;35;106
2003;011000;Mord im Zusammenhang mit Raubdelikten;61;37;98
2004;011000;Mord im Zusammenhang mit Raubdelikten;64;29;93
2005;011000;Mord im Zusammenhang mit Raubdelikten;49;25;74
2006;011000;Mord im Zusammenhang mit Raubdelikten;58;23;81
2007;011000;Mord im Zusammenhang mit Raubdelikten;79;31;110
2008;011000;Mord im Zusammenhang mit Raubdelikten;81;21;102
2009;011000;Mord im Zusammenhang mit Raubdelikten;54;22;76
2010;011000;Mord im Zusammenhang mit Raubdelikten;52;20;72
2011;011000;Mord im Zusammenhang mit Raubdelikten;65;34;99
2012;011000;Mord im Zusammenhang mit Raubdelikten;49;31;80
2013;011000;Mord im Zusammenhang mit Raubdelikten;43;23;66
2014;011000;Mord im Zusammenhang mit Raubdelikten;56;19;75
2015;011000;Mord im Zusammenhang mit Raubdelikten;38;18;56
2016;011000;Mord im Zusammenhang mit Raubdelikten;35;46;81
2017;011000;Mord im Zusammenhang mit Raubdelikten;44;24;68
2018;011000;Mord im Zusammenhang mit Raubdelikten;48;34;82
