jahr;straftat_code;straftat_bezeichnung;nationalitaet;tatverdaechtige
3;1;2;Deutsch;4
1987;------;Straftaten insgesamt;Deutsch;1032115
1988;------;Straftaten insgesamt;Deutsch;1027336
1989;------;Straftaten insgesamt;Deutsch;1034951
1990;------;Straftaten insgesamt;Deutsch;1054340
1991;------;Straftaten insgesamt;Deutsch;1061207
1992;------;Straftaten insgesamt;Deutsch;1072429
1993;------;Straftaten insgesamt;Deutsch;1361855
1994;------;Straftaten insgesamt;Deutsch;1424740
1995;------;Straftaten insgesamt;Deutsch;1514609
1996;------;Straftaten insgesamt;Deutsch;1587708
1997;------;Straftaten insgesamt;Deutsch;1640081
1998;------;Straftaten insgesamt;Deutsch;1691418
1999;------;Straftaten insgesamt;Deutsch;1661919
2000;------;Straftaten insgesamt;Deutsch;1697263
2001;------;Straftaten insgesamt;Deutsch;1712228
2002;------;Straftaten insgesamt;Deutsch;1759231
2003;------;Straftaten insgesamt;Deutsch;1801411
2004;------;Straftaten insgesamt;Deutsch;1837283
2005;------;Straftaten insgesamt;Deutsch;1793547
2006;------;Straftaten insgesamt;Deutsch;1780091
2007;------;Straftaten insgesamt;Deutsch;1804605
2008;------;Straftaten insgesamt;Deutsch;1784627
2009;------;Straftaten insgesamt;Deutsch;1724839
2010;------;Straftaten insgesamt;Deutsch;1680991
2011;------;Straftaten insgesamt;Deutsch;1628314
2012;------;Straftaten insgesamt;Deutsch;1591733
2013;------;Straftaten insgesamt;Deutsch;1555711
2014;------;Straftaten insgesamt;Deutsch;1532112
2015;------;Straftaten insgesamt;Deutsch;1457172
2016;------;Straftaten insgesamt;Deutsch;1407062
2017;------;Straftaten insgesamt;Deutsch;1376450
2018;------;Straftaten insgesamt;Deutsch;1342886
2019;------;Straftaten insgesamt;Deutsch;1319950
2020;------;Straftaten insgesamt;Deutsch;1306418
2021;------;Straftaten insgesamt;Deutsch;1252876
2022;------;Straftaten insgesamt;Deutsch;1309906
2023;------;Straftaten insgesamt;Deutsch;1323498
2024;------;Straftaten insgesamt;Deutsch;1271638
1987;000000;Straftaten gegen das Leben;Deutsch;2874
1988;000000;Straftaten gegen das Leben;Deutsch;2772
1989;000000;Straftaten gegen das Leben;Deutsch;2589
1990;000000;Straftaten gegen das Leben;Deutsch;2535
1991;000000;Straftaten gegen das Leben;Deutsch;2696
1992;000000;Straftaten gegen das Leben;Deutsch;2716
1993;000000;Straftaten gegen das Leben;Deutsch;3905
1994;000000;Straftaten gegen das Leben;Deutsch;3809
1995;000000;Straftaten gegen das Leben;Deutsch;4039
1996;000000;Straftaten gegen das Leben;Deutsch;3708
1997;000000;Straftaten gegen das Leben;Deutsch;3624
1998;000000;Straftaten gegen das Leben;Deutsch;3221
1999;000000;Straftaten gegen das Leben;Deutsch;3234
2000;000000;Straftaten gegen das Leben;Deutsch;3271
2001;000000;Straftaten gegen das Leben;Deutsch;3106
2002;000000;Straftaten gegen das Leben;Deutsch;3083
2003;000000;Straftaten gegen das Leben;Deutsch;3079
2004;000000;Straftaten gegen das Leben;Deutsch;3193
2005;000000;Straftaten gegen das Leben;Deutsch;3113
2006;000000;Straftaten gegen das Leben;Deutsch;3104
2007;000000;Straftaten gegen das Leben;Deutsch;3106
2008;000000;Straftaten gegen das Leben;Deutsch;3117
2009;000000;Straftaten gegen das Leben;Deutsch;3177
2010;000000;Straftaten gegen das Leben;Deutsch;3067
2011;000000;Straftaten gegen das Leben;Deutsch;2993
2012;000000;Straftaten gegen das Leben;Deutsch;2795
2013;000000;Straftaten gegen das Leben;Deutsch;2773
2014;000000;Straftaten gegen das Leben;Deutsch;2737
2015;000000;Straftaten gegen das Leben;Deutsch;2474
2016;000000;Straftaten gegen das Leben;Deutsch;2489
