jahr;nationalitaet;straftat_bezeichnung;tatverdaechtige;verurteilte;bevoelkerung_gesamt;tatverdaechtige_pro_100k;verurteilte_pro_100k
1984;Deutsch;Andere Straftaten gegen die Person (ohne Verkehr);0;209524;56643793;0.0;369.8975455263033
1984;Deutsch;Andere Vermögensdelikte;0;350540;56643793;0.0;618.8498005421353
1984;Deutsch;Betrug;0;156956;56643793;0.0;277.0930258854664
1984;Deutsch;Diebstahl und Unterschlagung;0;667728;56643793;0.0;1178.8193633148826
1984;Deutsch;Gefährliche und schwere Körperverletzung;0;52304;56643793;0.0;92.33844915717421
1984;Deutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);0;34292;56643793;0.0;60.53973115818709
1984;Deutsch;Körperverletzung;0;58776;56643793;0.0;103.7642376809053
1984;Deutsch;Mord und Totschlag;0;2532;56643793;0.0;4.4700396387650105
1984;Deutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;0;24776;56643793;0.0;43.74000872434514
1984;Deutsch;Sexueller Missbrauch von Kindern;0;5484;56643793;0.0;9.681555046993411
1984;Deutsch;Straftaten gegen den Staat,die öffentliche Ordnung;0;70364;56643793;0.0;124.2219072441
1984;Deutsch;Straftaten gegen die sexuelle Selbstbestimmung;0;20008;56643793;0.0;35.322493322436934
1984;Deutsch;Straftaten im Straßenverkehr nach dem StGB;0;883160;56643793;0.0;1559.1470013316375
1984;Deutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;0;245664;56643793;0.0;433.6997700701293
1984;Deutsch;Straftaten nach dem Aufenthaltsgesetz;0;1404;56643793;0.0;2.4786475722061905
1984;Deutsch;Straftaten nach dem Betäubungsmittelgesetz;0;60592;56643793;0.0;106.97023767458509
1984;Deutsch;Straftaten nach dem StGB (ohne Verkehr);0;1377232;56643793;0.0;2431.3908498323904
1984;Deutsch;Straftaten nach dem Straßenverkehrsgesetz;0;171936;56643793;0.0;303.53899499632735
1984;Deutsch;Urkundenfälschung;0;53400;56643793;0.0;94.2733478317739
1984;Deutsch;Vergewaltigung;0;4196;56643793;0.0;7.407696020639014
1984;Deutsch;Verletzung der Unterhaltspflicht;0;23304;56643793;0.0;41.141312694225824
1984;Nichtdeutsch;Andere Straftaten gegen die Person (ohne Verkehr);0;23076;4405463;0.0;523.8041949279792
1984;Nichtdeutsch;Andere Vermögensdelikte;0;44548;4405463;0.0;1011.1990499068997
1984;Nichtdeutsch;Betrug;0;11936;4405463;0.0;270.93633518202284
1984;Nichtdeutsch;Diebstahl und Unterschlagung;0;85968;4405463;0.0;1951.395347095186
1984;Nichtdeutsch;Gefährliche und schwere Körperverletzung;0;7484;4405463;0.0;169.87998764261553
1984;Nichtdeutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);0;2508;4405463;0.0;56.92931707745588
1984;Nichtdeutsch;Körperverletzung;0;6528;4405463;0.0;148.17965784754065
1984;Nichtdeutsch;Mord und Totschlag;0;828;4405463;0.0;18.79484630786821
1984;Nichtdeutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;0;3884;4405463;0.0;88.16326456492769
1984;Nichtdeutsch;Sexueller Missbrauch von Kindern;0;656;4405463;0.0;14.890602871934233
1984;Nichtdeutsch;Straftaten gegen den Staat,die öffentliche Ordnung;0;6592;4405463;0.0;149.632399591144
1984;Nichtdeutsch;Straftaten gegen die sexuelle Selbstbestimmung;0;3168;4405463;0.0;71.91071630836532
1984;Nichtdeutsch;Straftaten im Straßenverkehr nach dem StGB;0;71172;4405463;0.0;1615.539615245889
1984;Nichtdeutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;0;70516;4405463;0.0;1600.6490123739547
1984;Nichtdeutsch;Straftaten nach dem Aufenthaltsgesetz;0;27316;4405463;0.0;620.0483354417004
1984;Nichtdeutsch;Straftaten nach dem Betäubungsmittelgesetz;0;12504;4405463;0.0;283.8294181565025
1984;Nichtdeutsch;Straftaten nach dem StGB (ohne Verkehr);0;169744;4405463;0.0;3853.034289471958
1984;Nichtdeutsch;Straftaten nach dem Straßenverkehrsgesetz;0;24164;4405463;0.0;548.500804569236
1984;Nichtdeutsch;Urkundenfälschung;0;10644;4405463;0.0;241.60911123303043
1984;Nichtdeutsch;Vergewaltigung;0;1068;4405463;0.0;24.24262784638073
1984;Nichtdeutsch;Verletzung der Unterhaltspflicht;0;1228;4405463;0.0;27.874482205389082
1985;Deutsch;Andere Straftaten gegen die Person (ohne Verkehr);0;197888;56538856;0.0;350.0035444650666
1985;Deutsch;Andere Vermögensdelikte;0;353084;56538856;0.0;624.4979558836493
1985;Deutsch;Betrug;0;165024;56538856;0.0;291.8771472843384
1985;Deutsch;Diebstahl und Unterschlagung;0;632100;56538856;0.0;1117.9921999129238
1985;Deutsch;Gefährliche und schwere Körperverletzung;0;48988;56538856;0.0;86.64483766703734
1985;Deutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);0;34216;56538856;0.0;60.51767301411263
1985;Deutsch;Körperverletzung;0;56992;56538856;0.0;100.80147359189581
1985;Deutsch;Mord und Totschlag;0;2596;56538856;0.0;4.591532591320914
1985;Deutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;0;22440;56538856;0.0;39.689519009723156
1985;Deutsch;Sexueller Missbrauch von Kindern;0;5124;56538856;0.0;9.062793912915394
1985;Deutsch;Straftaten gegen den Staat,die öffentliche Ordnung;0;67936;56538856;0.0;120.15807323727951
1985;Deutsch;Straftaten gegen die sexuelle Selbstbestimmung;0;18584;56538856;0.0;32.86943053817714
1985;Deutsch;Straftaten im Straßenverkehr nach dem StGB;0;839304;56538856;0.0;1484.4729083305117
1985;Deutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;0;236804;56538856;0.0;418.83408465144754
1985;Deutsch;Straftaten nach dem Aufenthaltsgesetz;0;532;56538856;0.0;0.9409458160950409
1985;Deutsch;Straftaten nach dem Betäubungsmittelgesetz;0;57572;56538856;0.0;101.82731677485658
1985;Deutsch;Straftaten nach dem StGB (ohne Verkehr);0;1326248;56538856;0.0;2345.728396060932
1985;Deutsch;Straftaten nach dem Straßenverkehrsgesetz;0;143764;56538856;0.0;254.27468854339747
1985;Deutsch;Urkundenfälschung;0;52460;56538856;0.0;92.7857472036576
1985;Deutsch;Vergewaltigung;0;3788;56538856;0.0;6.699817201819577
1985;Deutsch;Verletzung der Unterhaltspflicht;0;19000;56538856;0.0;33.60520771768003
1985;Nichtdeutsch;Andere Straftaten gegen die Person (ohne Verkehr);0;22964;4481618;0.0;512.4042254382234
1985;Nichtdeutsch;Andere Vermögensdelikte;0;46892;4481618;0.0;1046.318539420361
1985;Nichtdeutsch;Betrug;0;13044;4481618;0.0;291.05559643860767
1985;Nichtdeutsch;Diebstahl und Unterschlagung;0;92964;4481618;0.0;2074.3401155564798
1985;Nichtdeutsch;Gefährliche und schwere Körperverletzung;0;7324;4481618;0.0;163.42312084608727
1985;Nichtdeutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);0;2584;4481618;0.0;57.65774771522249
1985;Nichtdeutsch;Körperverletzung;0;7056;4481618;0.0;157.44313772392024
1985;Nichtdeutsch;Mord und Totschlag;0;656;4481618;0.0;14.637570627393945
1985;Nichtdeutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;0;4124;4481618;0.0;92.02033729782414
1985;Nichtdeutsch;Sexueller Missbrauch von Kindern;0;556;4481618;0.0;12.406233641510722
1985;Nichtdeutsch;Straftaten gegen den Staat,die öffentliche Ordnung;0;6456;4481618;0.0;144.0551158086209
