pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
(Vorsätzliche) Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306c, 306f Abs. 1 und 2 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
2;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219b StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Abfallein- / -aus- und -durchfuhr § 326 Abs. 2 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Abgabe, Verabreichung oder Überlassung von Betäubungsmitteln an Minderjährige § 29a Abs. 1 Nr. 1, ggf. § 30 Abs. 1 Nr. 2 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Abrechnungsbetrug;Betrug
Alle sonstigen Straftaten gemäß StGB - ohne Verkehrsdelikte -;Straftaten im Straßenverkehr nach dem StGB
Alle sonstigen besonders schweren Fälle der Bestechlichkeit § 335 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Alle sonstigen besonders schweren Fälle der Bestechung nach § 335 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Mord und Totschlag
Allgemeine Verstöße § 29 BtMG (soweit nicht unter 7340 pp. zu erfassen);Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Amphetamin und seinen Derivaten in Pulver- oder flüssiger sowie in Tabletten- bzw. Kapselform (Ecstasy);Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Cannabis und Zubereitungen;Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Heroin;Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Kokain einschl. Crack;Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit LSD;Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Methamphetamin in Pulver-, kristalliner oder flüssiger sowie in Tabletten- bzw. Kapselform;Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit NPS (BtMG);Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit sonstigen Betäubungsmitteln;Straftaten nach dem Betäubungsmittelgesetz
Angriff auf den Luft- und Seeverkehr § 316c StGB;Straftaten im Straßenverkehr nach dem StGB
Anlagebetrug § 263 StGB;Betrug
Arbeitsvermittlungsbetrug;Betrug
Ausbeuten von Prostituierten § 180a StGB;Vergewaltigung
Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g, 184k StGB;Vergewaltigung
Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;Vergewaltigung
Ausspähen, Abfangen von Daten einschl. Vorbereitungshandlungen und Datenhehlerei §§ 202a, 202b, 202c, 202d StGB;Diebstahl und Unterschlagung
Bandenhehlerei von Kfz § 260 Abs. 1 Nr. 2 StGB;Diebstahl und Unterschlagung
Bankrott § 283 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bedrohung § 241 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Begünstigung, Strafvereitelung (ohne Strafvereitelung im Amt), Hehlerei und Geldwäsche §§ 257, 258, 259-261 StGB;Diebstahl und Unterschlagung
Beleidigung auf sexueller Grundlage §§ 185-187, 189 StGB;Vergewaltigung
Beleidigung §§ 185-187, 189 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Beraubung von Taxifahrern;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Bereitstellung von Geldmitteln oder anderen Vermögensgegenständen § 29 Abs. 1 Nr. 13 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Beschädigung, Zerstörung oder Veränderung von Kulturgut § 83 Abs. 3 KGSG;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Besonders schwerer Fall des Bankrotts § 283a StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechlichkeit - gewerbsmäßig oder als Mitglied einer Bande § 335 Abs. 2 Nr. 3 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechlichkeit im Gesundheitswesen;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechlichkeit und Bestechung im geschäftlichen Verkehr und im Gesundheitswesen §§ 299, 299a, 299b und 300 StGB;Straftaten im Straßenverkehr nach dem StGB
Bestechlichkeit und Bestechung § 299 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechlichkeit und Bestechung, Vorteil großen Ausmaßes § 300 Satz 2 Nr. 1 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechlichkeit und Bestechung, gewerbsmäßig oder als Mitglied einer Bande § 300 Satz 2 Nr. 2 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechlichkeit § 332 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechung - gewerbsmäßig oder als Mitglied einer Bande nach § 335 Abs. 2 Nr. 3 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechung im Gesundheitswesen;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Bestechung § 334 StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Betrug
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel  §§ 263, 263a StGB;Betrug
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Betrug
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Betrug
Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Betrug
Betrug und Untreue im Zusammenhang mit Beteiligungen und Kapitalanlagen (Wikri);Betrug
Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Betrug
Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Betrug
Betrügerisches Erlangen von Kfz §§ 263, 263a StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Betäubungsmittelanbau, -herstellung und -handel §§ 30 Abs. 1 Nr. 1, 30a BtMG;Straftaten nach dem Betäubungsmittelgesetz
Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306d, 306f StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Betrug
Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Betrug
Computerbetrug § 263a StGB;Betrug
Computerkriminalität;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Cybercrime;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Datenveränderung, Computersabotage §§ 303a, 303b StGB;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Delikte im Zusammenhang mit Schwarzarbeitsbekämpfungsgesetz und Arbeitnehmerüberlassungsgesetz;NICHT GEFUNDEN - BITTE MANUELL EINTRAGEN
Diebstahl insgesamt;Diebstahl und Unterschlagung
Diebstahl insgesamt an/aus Kraftfahrzeugen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Banken, Sparkassen, Postfilialen und -agenturen und dergleichen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Boden-, Kellerräumen und Waschküchen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Gaststätten, Kantinen, Hotels und Pensionen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern und Schaukästen darunter:;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen darunter:;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Wohnungen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus überwiegend unbezogenen Neu- und Rohbauten und Baustellen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen;Diebstahl und Unterschlagung
Diebstahl insgesamt und zwar:;Diebstahl und Unterschlagung
Diebstahl insgesamt von Antiquitäten, Kunst- und sakralen Gegenständen;Diebstahl und Unterschlagung
Diebstahl insgesamt von Betäubungsmitteln aus Apotheken;Diebstahl und Unterschlagung
Diebstahl insgesamt von Betäubungsmitteln aus Arztpraxen;Diebstahl und Unterschlagung
Diebstahl insgesamt von Betäubungsmitteln aus Krankenhäusern;Diebstahl und Unterschlagung
Diebstahl insgesamt von Betäubungsmitteln bei Herstellern und Großhändlern;Diebstahl und Unterschlagung
Diebstahl insgesamt von Fahrrädern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Diebstahl insgesamt von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Diebstahl insgesamt von Rezeptformularen zur Erlangung von Betäubungsmitteln;Diebstahl und Unterschlagung
Diebstahl insgesamt von Schusswaffen;Diebstahl und Unterschlagung
Diebstahl insgesamt von unbaren Zahlungsmitteln;Diebstahl und Unterschlagung
Diebstahl insgesamt von/aus Automaten;Diebstahl und Unterschlagung
Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB;Diebstahl und Unterschlagung
Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;Diebstahl und Unterschlagung
Diebstahl unter erschwerenden Umständen § 243, 244 StGB;Diebstahl und Unterschlagung
Diebstahl unter erschwerenden Umständen §§ 243-244a StGB;Diebstahl und Unterschlagung
Diebstahl unter erschwerenden Umständen §§ 243-244a StGB und zwar:;Diebstahl und Unterschlagung
Einfacher Diebstahl an/aus Kraftfahrzeugen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Banken, Sparkassen, Postfilialen und -agenturen und dergleichen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Boden-, Kellerräumen und Waschküchen;Diebstahl und Unterschlagung
