pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
(Sonstiger) Sozialleistungsbetrug (soweit nicht unter Schl. 5177 zu erfassen);Betrug
(Vorsätzliche leichte) Körperverletzung § 223 StGB;Körperverletzung
(Vorsätzliche) Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306c, 306f Abs. 1 und 2 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
(vorsätzliche) Brandstiftung §§ 306-308 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
- Vorteil großen Ausmaßes nach § 300 Satz 2 Ziff. 1 StGB;Andere Vermögensdelikte
- gewerbsmäßig oder als Mitglied einer Bande nach § 300 Satz 2 Ziff. 2 StGB;Andere Vermögensdelikte
Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219b StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Abfallein- / -aus- und -durchfuhr § 326 Abs. 2 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
"Abgabe, Verabreichung oder Überlassung von Betäubungsmitteln an Minderjährige § 29 Abs. 3 Nr. 3; ggf. § 30 Abs. 1 Nr. 2 BtMG";Straftaten nach dem Betäubungsmittelgesetz
Abgabe, Verabreichung oder Überlassung von Betäubungsmitteln an Minderjährige § 29a Abs. 1 Nr. 1, ggf. § 30 Abs. 1 Nr. 2 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Abrechnungsbetrug;Betrug
Alle sonstigen Straftaten gemäß StGB - ohne Verkehrsdelikte -;Straftaten nach dem StGB (ohne Verkehr)
Alle sonstigen Straftaten gemäß StGB - ohne Verkehrsdelikte - darunter:;Straftaten nach dem StGB (ohne Verkehr)
Alle sonstigen Straftaten gemäß StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Alle sonstigen besonders schweren Fälle der Bestechlichkeit § 335 StGB;Straftaten nach dem StGB (ohne Verkehr)
Alle sonstigen besonders schweren Fälle der Bestechung nach § 335 StGB;Straftaten nach dem StGB (ohne Verkehr)
Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Mord und Totschlag
Allgemeine Verstöße § 29 BtMG (soweit nicht unter 7340 pp. zu erfassen);Straftaten nach dem Betäubungsmittelgesetz
Allgemeine Verstöße § 29 BtMG (soweit nicht unter 7340 pp. zu erfassen) davon:;Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Amphetamin und seinen Derivaten in Pulver- oder flüssiger sowie in Tabletten- bzw. Kapselform (Ecstasy);Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Amphetamin/Methamphetamin und deren Derivate in Pulver- oder flüssiger Form;Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Amphetamin/Methamphetamin und deren Derivate in Tabletten- bzw. Kapselform (Ecstasy);Straftaten nach dem Betäubungsmittelgesetz
Allgemeiner Verstoß mit Cannabis und Zubereitungen;Straftaten nach dem Betäubungsmittelgesetz
